OBJECTID,CODE,NAME,步行友善度,自行車便利度,街道連通度,大眾運輸可達度,生活機能多樣性,都市密度強度,區域整合度,低汽車依賴度,TOD整體分數,交易物件數量,建物單價元/坪,,,,,,,,,,,,
1,R25,關渡站,0.602860351,0.511036644,0.646307165,1,0.562378807,0.785123644,1,0.477510958,0.655031081,0,,,,,,,,,,,,,
2,R24,昆陽站,0.569751843,0.660446837,0.732032516,1,0.925599311,0.834944815,1,0.621848149,0.763517639,3,736132.5073,,,,,,,,,,,,
3,R22A,萬芳社區站,0.100275078,0.093838313,0.917054902,1,0.947039251,0.792923581,1,0.139705883,0.570119573,1,800426.8643,,,,,,,,,,,,
4,R22,北投站,0.774022651,0.67150165,0.714765327,1,0.870181364,0.860702445,1,0.633048824,0.789174609,1,763982.8558,,,,,,,,,,,,
5,R21,忠孝復興站,0.830221629,0.958630753,0.823986754,1,0.845552837,0.891354953,1,0.950081183,0.899975444,28,1587349.507,,,,,,,,,,,,
6,R20,國父紀念館,0.76377141,0.92429831,0.841127875,1,0.854730193,0.66954967,1,0.909476609,0.851850581,4,1158449.014,,,,,,,,,,,,
7,R19,行天宮站,0.797816841,0.921995959,0.865049688,1,0.972919702,0.824339813,1,0.906780254,0.898414608,1,728050.7363,,,,,,,,,,,,
8,R18,東門站,0.900604628,0.948060579,0.874967956,1,0.811192288,0.860046764,1,0.937500616,0.90462469,5,1300973.157,,,,,,,,,,,,
9,R17,信義安和站,0.708548552,0.853748904,0.861068871,1,0.74925398,0.904448773,1,0.828364249,0.843633333,9,1269802.289,,,,,,,,,,,,
10,R14,新北投站,0.894690211,0.712320638,0.641216789,1,0.980495237,0.980540489,1,0.67504005,0.840614773,7,629639.5611,,,,,,,,,,,,
11,R15,劍潭站,0.494673168,0.984560419,1,1,0.998907998,0,1,0.981242433,0.779912003,3,1000716.524,,,,,,,,,,,,
12,R16,士林站,0.938773869,0.922039724,0.988632396,1,1,0,1,0.906831479,0.822325353,1,1152514.601,,,,,,,,,,,,
13,R13 / O11,永春站,0.874815313,0.808097248,0,1,0.79501831,0.879207749,1,0.777529937,0.73352408,9,1023000.52,,,,,,,,,,,,
14,R12,雙連站,0.63221843,0.981344012,0.865049688,1,0.716421695,0.908143207,1,0.977353895,0.868647275,6,913747.4279,,,,,,,,,,,,
15,R09,台北101/世貿站,0.911241334,0.899358622,0.95445804,1,0.66366133,0.831911003,1,0.880446526,0.877296694,0,,,,,,,,,,,,,
16,BR01,唭哩岸站,0.538247697,0.622633805,0.865049688,1,0.98310863,0.817008391,1,0.584084839,0.77287615,10,767940.2005,,,,,,,,,,,,
17,BR02,木柵站,0.297382674,0.642890351,0.988632396,1,0.90466001,0.823601425,1,0.604209429,0.751625184,3,691655.9752,,,,,,,,,,,,
18,BR03,萬芳醫院站,0.592846405,0.357244447,0.937036925,1,0.997778763,0.924135271,1,0.3422096,0.735893059,2,568479.9165,,,,,,,,,,,,
19,BR04,萬隆站,0.583397027,0.6018645,0.752449149,1,0.938152336,0.941703554,1,0.563701808,0.768752625,5,691264.7406,,,,,,,,,,,,
20,BR05,奇岩站,0.651265573,0.712945258,0.988632396,1,0.922953571,0.915977628,1,0.675690391,0.83820926,0,,,,,,,,,,,,,
21,BR06,麟光站,0.440002984,0.147609897,0.862357004,1,0.740539526,0.660658476,1,0.178190044,0.575622562,5,776677.9742,,,,,,,,,,,,
22,BR07,六張犁站,0.731993587,0.776210211,0.502794793,1,0.672567562,0.918874894,1,0.742785692,0.76360382,11,963638.8935,,,,,,,,,,,,
23,BR08,動物園站,0,0.739063425,0.865049688,1,0,0,1,0.70309512,0.472458319,0,,,,,,,,,,,,,
24,R05 / BR09,大安站,0.632179623,0.88273279,0.439750923,1,0.964842183,0.895579511,1,0.861310707,0.810913677,1,1459647.821,,,,,,,,,,,,
25,BR12,中山國中站,0.632748591,0.916538102,0.719263936,1,0.973656218,0.910205856,1,0.900401722,0.864687775,3,793562.7665,,,,,,,,,,,,
26,BL22,南港軟體園區站,0.511967203,0.909520248,0.616534646,1,0.484795091,0.956015354,1,0.892227582,0.767294303,2,926648.5498,,,,,,,,,,,,
27,BL21,明德站,0.87051667,0.523553587,0.787261492,1,0.927918801,0.678324756,1,0.489106644,0.753811707,7,814402.7516,,,,,,,,,,,,
28,BL20,科技大樓站,0.872527589,0.985890771,0.80010989,1,0.752641489,0.940347341,1,0.982852709,0.90490997,5,1403668.982,,,,,,,,,,,,
29,BL19,石牌站,0.642511588,0.719365616,0.815814865,1,0.933347678,0.902083579,1,0.68238876,0.813644584,1,866295.8595,,,,,,,,,,,,
30,BL18,民權西路站,0.717435973,1,0.865049688,1,0.993487421,0.898723065,1,1,0.924956592,10,825480.7934,,,,,,,,,,,,
31,BL17,善導寺站,0.661813881,0.968588255,0.825954717,1,0.971992827,0.855690184,1,0.961997271,0.892291019,4,862662.5791,,,,,,,,,,,,
32,BL16,忠孝新生站,0.788267402,0.963152826,0.884794018,1,0.807119276,0.844464439,1,0.955484935,0.891897557,2,1012700.827,,,,,,,,,,,,
33,BL15 / BR10,忠孝敦化站,0.6517629,0.968547598,0.865049688,1,0.953506597,0.932102891,1,0.961948489,0.904702595,3,948124.7441,,,,,,,,,,,,
34,G08,市政府站,0.930978248,0.925740977,0.717959186,1,0.442303501,0.916300222,1,0.911167862,0.834921428,4,992326.8795,,,,,,,,,,,,
35,G05,港墘站,1,0.988757753,1,1,0.834323175,0.996662222,1,0.98632677,0.972295703,1,1194022.634,,,,,,,,,,,,
36,BL10,龍山寺站,0.962751789,0.974643213,0.988632396,1,0.980167887,1,1,0.969273943,0.98220989,3,715111.2736,,,,,,,,,,,,
37,BL13,復興崗站,0.314457177,0.063585484,0,1,0.914380054,0.770893664,0,0,0.294759483,0,,,,,,,,,,,,,
38,G11,小南門站,0.636813975,0.887231289,0.865049688,1,0.616522912,0.882674679,1,0.86647126,0.822109115,0,,,,,,,,,,,,,
39,R08 / G10,中正紀念堂,0.546185087,0.966856605,0.885860661,1,0.720051845,0.919088884,1,0.9599205,0.85685194,0,,,,,,,,,,,,,
40,G09 / O05,古亭站,0.824143461,0.978101469,0.99589079,1,0.95108269,0.883119219,1,0.973440414,0.943682578,5,1073957.867,,,,,,,,,,,,
41,BL14 / O07,忠義站,0.549166814,0.044325535,0.770076395,1,0.920113927,0.800989429,1,0.105506284,0.598596912,1,407225.6921,,,,,,,,,,,,
42,BL12 / R10,台電大樓站,0.8145843,0.88557699,0.865049688,1,0.95797582,0.803843669,1,0.864572022,0.884514641,10,1110915.086,,,,,,,,,,,,
43,BL11 / G12,西湖站,0.863804509,0.874664446,0.867755916,1,0.648719301,0.935977959,1,0.852086632,0.863286966,3,749965.9155,,,,,,,,,,,,
44,BL23 / BR24,南港站,0.829212926,0.863159305,0.614611147,1,0.480793152,0.951778779,1,0.839003775,0.796937012,0,,,,,,,,,,,,,
45,BR14,大直站,0.807365949,0.883062807,0.73976143,1,0.796044844,0.908578799,1,0.861688865,0.856643242,5,849363.0891,,,,,,,,,,,,
46,BR16,辛亥站,0.376483225,0,0.656580876,1,0.816017027,0.794073976,1,0.075872409,0.531289645,4,811044.7579,,,,,,,,,,,,
47,BR17,象山站,0.682797558,0.856089379,0.988632396,1,0.726551251,0.922923212,1,0.83100527,0.858285581,1,2114880.422,,,,,,,,,,,,
48,BR18,文德站,0.792620407,0.80401223,0.93556197,1,0.945737521,0.724434703,1,0.773043966,0.853630114,3,1056626.392,,,,,,,,,,,,
49,BR19,內湖站,0.948397153,0.830829047,0.988632396,1,0.842455099,0.808171204,1,0.802681048,0.888737992,6,868968.4653,,,,,,,,,,,,
50,BR20,大湖公園站,0.510320718,0.578291374,0.65754201,1,0.869499459,0.733962094,1,0.540873112,0.698641253,1,803640.2431,,,,,,,,,,,,
51,BR21,臺大醫院站,0.807796236,0.697226793,0.703978357,1,0.848059499,0.765115196,1,0.659396178,0.783081751,0,,,,,,,,,,,,,
52,BR22,松山站,0.749166819,0.901979138,0.918009436,1,0.944592756,0.980163698,1,0.883478462,0.911055759,4,954716.4339,,,,,,,,,,,,
53,BR23,後山埤站,0.968340925,0.950680519,0.934517802,1,0.910544256,0.930291974,1,0.940612265,0.947855392,5,938636.003,,,,,,,,,,,,
