OBJECTID,CODE,NAME,步行友善度,自行車便利度,街道連通度,大眾運輸可達度,生活機能多樣性,都市密度強度,區域整合度,低汽車依賴度,TOD整體分數,交易物件數量,建物單價元/坪
1,R25,關渡站,0.71642165,,0.587169873,1,0.239341002,0.743602426,0.325719044,0.770404884,60.13557011,14,587575.247
2,R24,忠義站,0.078482684,0.162686829,0,0.600367944,0.021111235,0.40522772,0.802070013,0.622524072,47.00300796,6,435176.8432
3,R22A,新北投站,0.901309233,0.655670034,0.892186564,1,0.863670413,0.873657845,0.438903948,0.926610267,76.07388968,78,558570.226
4,R22,北投站,0.953476131,0.893029605,0.777255377,1,0.544196872,0.492529926,0.471892063,0.758035371,68.10161759,35,625041.6037
5,R21,奇岩站,0.7628388,0.552304991,0.493048932,1,0.400677341,0.552231199,0.592976232,0.672015555,61.56282782,18,574780.0318
6,R20,唭哩岸站,0.7980446,0.611568191,0.655472086,1,0.706765602,0.456327063,0.218835753,0.550296183,64.09937462,31,679267.1308
7,R19,石牌站,0.790848599,0.695911728,0.743899988,1,0.778462772,0.675501977,0.20042716,0.452300845,66.89130151,27,774880.9066
8,R18,明德站,0.827407841,0.566003409,0.901940756,1,0.864074129,0.479551312,0.04248095,0.727266443,69.76350845,33,740160.4531
9,R17,芝山站,0.860183605,0.966316292,0.723750149,1,0.851682758,0.301881008,0.421160817,0.68758239,69.73349156,29,819691.2576
10,R14,圓山站,0.947700617,0.924336821,0.459136555,1,0.35828087,0.682422928,0.720469672,0.717474424,65.5548784,8,907800.3382
11,R15,劍潭站,0.676944939,0.941919601,0.434507753,0.54174567,0.424473077,0.592682639,0.39173248,0.295365955,55.36091802,24,853053.0833
12,R16,士林站,0.918142882,0.991090173,0.905951088,1,0.416320515,0.838722206,0.609324235,0.922592498,72.29480825,5,795470.6149
13,R13 / O11,民權西路站,0.983374312,0.99983104,0.724895397,1,0.830503011,0.868475642,0.91243326,0.945550289,79.2504854,63,799723.189
14,R12,雙連站,0.862762284,0.942181959,0.825253091,1,1,0.881230345,0.35105136,0.93891495,78.08816119,40,891934.5139
15,R09,台大醫院站,0.932031849,0.828639735,0.647166066,1,0.148530865,0.871694115,0.748630705,0.908380966,67.44849223,,
16,BR01,動物園站,0.319773477,0.64655596,0.108636305,0.493494827,0.012452391,0.621929216,0.234845656,0.46242448,45.97647947,,
17,BR02,木柵站,0.330866788,0.341398364,0.222336887,1,0.104928243,0.852337615,0.539044593,0.28127655,52.63310897,9,625678.5793
18,BR03,萬芳社區站,0.097197288,0,0.268250681,0.618870925,0.152139941,1,0.768715452,0.001169679,49.29490375,3,581418.16
19,BR04,萬芳醫院站,0.351694549,0.261698407,0.493481862,1,0.536157429,0.908045625,0.117818639,0.484732557,58.50873234,12,747642.2719
20,BR05,辛亥站,0.14301722,0.159914676,0.401848267,1,0.333666933,0.428614859,0,0.304155906,49.75243839,17,667382.2191
21,BR06,麟光站,0.366423137,0.273933863,0.295778587,1,0.479150692,0,0.647161877,0,51.94826134,41,777657.0503
22,BR07,六張犁站,0.883320595,0.862193521,0.737566919,1,0.84993363,0.716449286,0.183400764,0.828232552,71.77283345,77,868261.9683
23,BR08,科技大樓站,0.987140185,0.996811338,0.808165997,1,0.903705784,0.85154358,0.82648816,0.932547017,80.33580128,86,983247.0604
24,R05 / BR09,大安站,0.929713858,0.966251527,0.79134178,1,0.814511202,0.802919824,0.45854148,0.886585011,74.85646832,52,1206644.525
25,BR12,中山國中站,0.919120915,0.896117712,0.745874554,1,0.812515916,0.483624346,0.875841736,0.922421733,75.28248163,31,831297.0448
26,BL22,南港站,0.73116658,0.802285295,0.517825217,0.264094376,0,0.641018958,0.472511903,0.809550387,54.29111624,1,476076.0152
27,BL21,昆陽站,0.665018059,0.724693502,0.506830148,1,0.459901435,0.540162669,0.617888865,0.609366852,61.88873204,10,708449.2451
28,BL20,後山埤站,0.95435098,0.956482925,0.775479109,1,0.709487033,0.509639707,0.820416527,0.896574228,74.0547295,36,848475.174
29,BL19,永春站,0.911855666,0.896161289,0.998156067,1,0.788541488,0.809400646,0.041520084,0.394505691,71.65350146,76,913754.0963
30,BL18,市政府站,0.946739024,0.908777716,0.762358794,1,0.598387443,0.782423106,0.515522987,0.879926861,71.50757396,30,917193.3515
31,BL17,國父紀念館,0.936748412,0.951809136,0.853811255,1,0.888211381,0.591158189,0.299293841,0.808242099,74.02877416,22,1003243.196
32,BL16,忠孝敦化站,0.96330539,0.979329923,0.741930591,1,0.871831179,0.644839864,0.649153262,0.861111627,75.5664776,38,1083862.436
33,BL15 / BR10,忠孝復興站,0.969028184,0.990071784,0.740191171,1,0.81458679,0.701091259,0.875830412,0.87101461,76.96551577,47,992682.1453
34,G08,台電大樓站,0.916921254,0.886357283,0.700529369,1,0.736912679,0.62272421,0.599344281,0.745234094,71.02365347,40,1002110.235
35,G05,景美站,0.853827664,0.701988981,0.67086477,1,0.420043377,0.764825779,0.367605942,0.716809809,64.86686953,59,675931.2212
36,BL10,龍山寺站,1,0.920592371,0.939495358,1,0.680820585,0.862307071,0.953732872,0.871961899,79.04061515,13,610009.2096
37,BL13,善導寺站,0.843758097,1,0.707650886,1,0.578464734,0.8726813,0.350816557,0.991049507,70.81811964,24,926685.6663
